date;day;month;year;survey;length;ptot;X;Y;long;lat;surveyF;id_newF;log_length;yearF;jd;mo;jd_s;survey_name
24/12/1997;24;12;1997;1;60;0;337420.8746;7687563.644;55.4368;-20.9051;1;197;4.094344562;1997;358;12;2.069894965;1997-2000
5/6/2017;5;6;2017;3;80;1;337420.8746;7687563.644;55.4368;-20.9051;3;197;4.382026635;2017;156;6;-0.368630999;2017-2019
30/5/2019;30;5;2019;3;80;0;347280;7688050;55.53161409;-20.90154774;3;198;4.382026635;2019;150;5;-0.441062463;2017-2019
28/5/2018;28;5;2018;3;80;0;347280;7688050;55.53161409;-20.90154774;3;198;4.382026635;2018;148;5;-0.465206284;2017-2019
22/11/2017;22;11;2017;3;80;0;347280;7688050;55.53161409;-20.90154774;3;198;4.382026635;2017;326;11;1.683593823;2017-2019
23/5/2017;23;5;2017;3;80;0;347280;7688050;55.53161409;-20.90154774;3;198;4.382026635;2017;143;5;-0.525565838;2017-2019
12/6/2017;12;6;2017;3;80;0;365577.2399;7662878.118;55.7055429;-21.13035434;3;199;4.382026635;2017;163;6;-0.284127624;2017-2019
29/11/2017;29;11;2017;3;80;0;365403.8597;7653052.249;55.7031;-21.2191;3;200;4.382026635;2017;333;11;1.768097198;2017-2019
15/5/2017;15;5;2017;3;80;0;365403.8597;7653052.249;55.7031;-21.2191;3;200;4.382026635;2017;135;5;-0.622141124;2017-2019
2/6/2017;2;6;2017;3;80;3;351587.491;7644632.245;55.569268;-21.294079;3;205;4.382026635;2017;153;6;-0.404846731;2017-2019
