date;day;month;year;survey;length;ptot;X;Y;long;lat;surveyF;id_newF;log_length;yearF;jd;mo;jd_s;survey_name
6/6/2017;6;6;2017;3;80;0;330283;7674705;55.36692918;-21.02059774;3;155;4.382026635;2017;157;6;-0.356559088;2017-2019
16/6/2019;16;6;2019;3;80;1;330283;7674705;55.36692918;-21.02059774;3;155;4.382026635;2019;167;6;-0.235839981;2017-2019
27/10/2000;27;10;2000;1;120;0;336360;7674760;55.42539222;-21.02065224;1;156;4.787491743;2000;301;10;1.381796055;1997-2000
22/11/2017;22;11;2017;3;80;0;336360;7674760;55.42539222;-21.02065224;3;156;4.382026635;2017;326;11;1.683593823;2017-2019
1/1/1998;1;1;1998;1;120;0;336360;7674760;55.42539222;-21.02065224;1;156;4.787491743;1998;1;1;-2.239777159;1997-2000
4/6/2017;4;6;2017;3;80;1;336360;7674760;55.42539222;-21.02065224;3;156;4.382026635;2017;155;6;-0.380702909;2017-2019
21/11/2017;21;11;2017;3;80;0;361328;7675304;55.66563408;-21.01779242;3;157;4.382026635;2017;325;11;1.671521912;2017-2019
23/6/2000;23;6;2000;1;150;2;361328;7675304;55.66563408;-21.01779242;1;157;5.010635294;2000;175;6;-0.139264695;1997-2000
31/5/2018;31;5;2018;3;80;1;361328;7675304;55.66563408;-21.01779242;3;157;4.382026635;2018;151;5;-0.428990552;2017-2019
27/5/2017;27;5;2017;3;80;1;361328;7675304;55.66563408;-21.01779242;3;157;4.382026635;2017;147;5;-0.477278195;2017-2019
12/6/2019;12;6;2019;3;80;3;361328;7675304;55.66563408;-21.01779242;3;157;4.382026635;2019;163;6;-0.284127624;2017-2019
1/6/2017;1;6;2017;3;80;1;349785.0917;7675435.201;55.5546;-21.0157;3;158;4.382026635;2017;152;6;-0.416918642;2017-2019
30/6/2000;30;6;2000;1;140;1;349785.0917;7675435.201;55.5546;-21.0157;1;158;4.941642423;2000;182;6;-0.05476132;1997-2000
14/6/2019;14;6;2019;3;80;0;349785.0917;7675435.201;55.5546;-21.0157;3;158;4.382026635;2019;165;6;-0.259983802;2017-2019
16/6/2018;16;6;2018;3;80;0;349785.0917;7675435.201;55.5546;-21.0157;3;158;4.382026635;2018;167;6;-0.235839981;2017-2019
23/11/2017;23;11;2017;3;80;0;349785.0917;7675435.201;55.5546;-21.0157;3;158;4.382026635;2017;327;11;1.695665733;2017-2019
29/5/2018;29;5;2018;3;80;0;347271.7332;7675090.942;55.53039142;-21.01860242;3;159;4.382026635;2018;149;5;-0.453134374;2017-2019
16/12/2017;16;12;2017;3;80;0;347271.7332;7675090.942;55.53039142;-21.01860242;3;159;4.382026635;2017;350;12;1.97331968;2017-2019
30/5/2017;30;5;2017;3;80;0;347271.7332;7675090.942;55.53039142;-21.01860242;3;159;4.382026635;2017;150;5;-0.441062463;2017-2019
6/12/2017;6;12;2017;3;80;0;343516.171;7675314.931;55.49428363;-21.01626325;3;160;4.382026635;2017;340;12;1.852600573;2017-2019
16/6/2018;16;6;2018;3;80;0;343516.171;7675314.931;55.49428363;-21.01626325;3;160;4.382026635;2018;167;6;-0.235839981;2017-2019
1/6/2017;1;6;2017;3;80;0;343516.171;7675314.931;55.49428363;-21.01626325;3;160;4.382026635;2017;152;6;-0.416918642;2017-2019
6/5/2010;6;5;2010;2;100;1;357398;7676658;55.62793775;-21.00526092;2;162;4.605170186;2010;126;5;-0.73078832;2009-2010
19/6/1999;19;6;1999;1;120;1;357398;7676658;55.62793775;-21.00526092;1;162;4.787491743;1999;170;6;-0.199624249;1997-2000
6/6/2017;6;6;2017;3;80;0;357398;7676658;55.62793775;-21.00526092;3;162;4.382026635;2017;157;6;-0.356559088;2017-2019
14/12/1997;14;12;1997;1;120;0;357398;7676658;55.62793775;-21.00526092;1;162;4.787491743;1997;348;12;1.949175858;1997-2000
1/6/2017;1;6;2017;3;80;1;359274.712;7676769.314;55.646;-21.0044;3;163;4.382026635;2017;152;6;-0.416918642;2017-2019
3/7/2009;3;7;2009;2;90;1;359274.712;7676769.314;55.646;-21.0044;2;163;4.49980967;2009;184;7;-0.030617499;2009-2010
23/5/2019;23;5;2019;3;80;1;359274.712;7676769.314;55.646;-21.0044;3;163;4.382026635;2019;143;5;-0.525565838;2017-2019
1/6/2017;1;6;2017;3;80;2;352241;7677178;55.57837489;-21.00015667;3;164;4.382026635;2017;152;6;-0.416918642;2017-2019
13/6/2017;13;6;2017;3;80;0;352241;7677178;55.57837489;-21.00015667;3;164;4.382026635;2017;164;6;-0.272055713;2017-2019
19/6/2019;19;6;2019;3;80;0;330980.8462;7677419.938;55.37390782;-20.9961408;3;165;4.382026635;2019;170;6;-0.199624249;2017-2019
5/6/2017;5;6;2017;3;80;1;330980.8462;7677419.938;55.37390782;-20.9961408;3;165;4.382026635;2017;156;6;-0.368630999;2017-2019
29/12/1997;29;12;1997;1;120;2;353730;7677820;55.592752;-20.99447655;1;167;4.787491743;1997;363;12;2.130254519;1997-2000
1/1/1998;1;1;1998;1;120;0;353730;7677820;55.592752;-20.99447655;1;167;4.787491743;1998;1;1;-2.239777159;1997-2000
19/8/1998;19;8;1998;1;60;2;353730;7677820;55.592752;-20.99447655;1;167;4.094344562;1998;231;8;0.536762305;1997-2000
9/10/2000;9;10;2000;1;120;1;353730;7677820;55.592752;-20.99447655;1;167;4.787491743;2000;283;10;1.164501662;1997-2000
6/6/2017;6;6;2017;3;80;0;353730;7677820;55.592752;-20.99447655;3;167;4.382026635;2017;157;6;-0.356559088;2017-2019
14/6/2019;14;6;2019;3;80;0;353730;7677820;55.592752;-20.99447655;3;167;4.382026635;2019;165;6;-0.259983802;2017-2019
20/5/1999;20;5;1999;1;120;1;353730;7677820;55.592752;-20.99447655;1;167;4.787491743;1999;140;5;-0.56178157;1997-2000
12/10/2000;12;10;2000;1;120;2;355853.3095;7678112.72;55.6132;-20.992;1;168;4.787491743;2000;286;10;1.200717394;1997-2000
21/8/1998;21;8;1998;1;120;2;355853.3095;7678112.72;55.6132;-20.992;1;168;4.787491743;1998;233;8;0.560906126;1997-2000
22/5/2019;22;5;2019;3;80;0;355853.3095;7678112.72;55.6132;-20.992;3;168;4.382026635;2019;142;5;-0.537637749;2017-2019
13/6/2017;13;6;2017;3;80;0;355853.3095;7678112.72;55.6132;-20.992;3;168;4.382026635;2017;164;6;-0.272055713;2017-2019
25/5/2017;25;5;2017;3;80;0;355853.3095;7678112.72;55.6132;-20.992;3;168;4.382026635;2017;145;5;-0.501422017;2017-2019
14/12/1997;14;12;1997;1;120;1;355853.3095;7678112.72;55.6132;-20.992;1;168;4.787491743;1997;348;12;1.949175858;1997-2000
4/6/2017;4;6;2017;3;80;0;344025.7742;7678450.805;55.49946906;-20.9879817;3;169;4.382026635;2017;155;6;-0.380702909;2017-2019
7/10/1998;7;10;1998;1;120;1;333256.9671;7678474.011;55.395901;-20.986828;1;170;4.787491743;1998;280;10;1.12828593;1997-2000
20/6/2019;20;6;2019;3;80;0;333256.9671;7678474.011;55.395901;-20.986828;3;170;4.382026635;2019;171;6;-0.187552338;2017-2019
26/6/2009;26;6;2009;2;120;0;333256.9671;7678474.011;55.395901;-20.986828;2;170;4.787491743;2009;177;6;-0.115120874;2009-2010
11/10/2000;11;10;2000;1;120;1;333256.9671;7678474.011;55.395901;-20.986828;1;170;4.787491743;2000;285;10;1.188645483;1997-2000
25/5/2017;25;5;2017;3;80;0;333256.9671;7678474.011;55.395901;-20.986828;3;170;4.382026635;2017;145;5;-0.501422017;2017-2019
