X;Y;REGION
359658.2;7634171.8;1
359656.5;7634173.7;1
359651.5;7634169.6;1
359648.3;7634169.7;1
359645.7;7634173.3;1
359646;7634176.2;1
359647.4;7634178.9;1
359640.4;7634181.1;1
359629.1;7634182.5;1
359624.3;7634185.1;1
359620.9;7634188.6;1
359617.4;7634190.2;1
359610.6;7634196.5;1
359606.7;7634195.5;1
359598.3;7634190.9;1
359594.1;7634189.7;1
359585.4;7634191.8;1
359576.7;7634196.3;1
359573.9;7634194.2;1
359570.7;7634193.1;1
359567.9;7634194.3;1
359565.4;7634197.3;1
359562.7;7634203.8;1
359555.3;7634227;1
359556.7;7634231.4;1
359560;7634231.4;1
359563.4;7634228.9;1
359565.8;7634229.5;1
359567.7;7634232.7;1
359571;7634235.7;1
359573.9;7634245.2;1
359561.9;7634260.6;1
359551.4;7634260.2;1
359545.5;7634267.5;1
359545.9;7634274.3;1
359530.8;7634278.3;1
359517.9;7634274.8;1
359515.1;7634271;1
359524.7;7634263.3;1
359527.1;7634255;1
359526.7;7634251;1
359524.4;7634248.5;1
359520.2;7634247.9;1
359513.5;7634249.4;1
359508.5;7634252.5;1
359505.9;7634255.6;1
359501.8;7634256.9;1
359486;7634278.2;1
359483;7634282.5;1
359480.8;7634283;1
359478.5;7634280.8;1
359478.5;7634277.6;1
359476;7634275.9;1
359474.3;7634277.1;1
359471;7634287.5;1
359474;7634290.6;1
359472.2;7634299;1
359462.2;7634302.7;1
359460.4;7634306.8;1
359460.6;7634312.8;1
359457.8;7634316.1;1
359452.4;7634315.7;1
359446.2;7634322.1;1
359446.2;7634327.3;1
359445;7634333.9;1
359447;7634344.6;1
359442;7634348.7;1
359441.7;7634353.3;1
359438.8;7634362.4;1
359437.8;7634374.6;1
359431;7634366.9;1
359424.5;7634359.3;1
359421.1;7634355.7;1
359418.2;7634345.9;1
359403.1;7634328.9;1
359395.9;7634326.6;1
359391.9;7634325.2;1
359387.7;7634326.8;1
359385.7;7634330.3;1
359387;7634336.8;1
359382.1;7634337.9;1
359374.2;7634334.1;1
359370.7;7634336.1;1
359367.3;7634340.3;1
359367.1;7634346.6;1
359364.1;7634346.5;1
359362.3;7634343.7;1
359359.1;7634342.1;1
359353;7634354.1;1
359353;7634373.5;1
359348.2;7634377.3;1
359334.1;7634400.4;1
359342.7;7634404.9;1
359346.6;7634402.4;1
359349.4;7634395.9;1
359352.3;7634394.6;1
359353.8;7634397.9;1
359350.1;7634406.9;1
359352.5;7634408.7;1
359357.9;7634411.1;1
359364.9;7634412;1
359370.3;7634411.4;1
359374.1;7634413.6;1
359389.5;7634424;1
359406.6;7634424.9;1
359405.5;7634430;1
359390.2;7634429.3;1
359374.1;7634435.6;1
359362.8;7634439.2;1
359352.4;7634444.2;1
359357.2;7634453.3;1
359364.6;7634460.4;1
359373.2;7634465.6;1
359377.6;7634475;1
359383.5;7634474.9;1
359374.1;7634503.2;1
359380.2;7634508;1
359389.3;7634522.9;1
359408.6;7634536.3;1
359418.1;7634542.5;1
359441;7634552;1
359421.5;7634571.4;1
359421.3;7634571.6;1
359390.1;7634567.6;1
359371.5;7634570.1;1
359352.6;7634583.6;1
359302.4;7634633.4;1
359288.6;7634642.2;1
359265.9;7634664.1;1
359240.8;7634686;1
359231.7;7634691.7;1
359174;7634722.3;1
359114.1;7634767.2;1
359047.3;7634801.1;1
358961.7;7634833.6;1
358913.7;7634843.7;1
358872.3;7634852.5;1
358838.1;7634861.2;1
358807.6;7634868.5;1
358758.9;7634875.7;1
358636.7;7634888.1;1
358547.2;7634893.9;1
358500;7634896.8;1
358467.2;7634892.6;1
358421.6;7634892.8;1
358329.8;7634897.2;1
358299.9;7634899;1
358283.6;7634900.5;1
358264.2;7634899.1;1
358254.8;7634899.3;1
358239.6;7634899.7;1
358214.2;7634900;1
358196.4;7634900.8;1
358177.8;7634903.4;1
358166.8;7634903.7;1
358157.1;7634907;1
358134.9;7634912.1;1
358093.5;7634905.6;1
358034.4;7634903.2;1
358017.8;7634901.6;1
357991.7;7634899;1
357971.3;7634897.2;1
357944.8;7634895.4;1
357916;7634891.7;1
357873.5;7634891.7;1
357840;7634892.5;1
357781.1;7634890.3;1
357730.6;7634891.4;1
357691;7634891.7;1
